"University of Alabama","ALABAMA CRIMSON TIDE - University of Alabama Official Athletic Site","http://www.rolltide.com/"
"Alabama Agricultural and Mechanical University","Alabama A&M University","http://www.aamu.edu/"
"Alabama State University","Alabama State University Athletics","http://bamastatesports.com/"
"Auburn University","Auburn University Official Athletic Site","http://www.auburntigers.com/"
"Jacksonville State University","Jacksonville State University","http://www.jsugamecocksports.com/"
"Samford University","General SID Releases - Samford University Official Athletic Site","http://samfordsports.cstv.com/genrel/samf-genrel.html"
"University of South Alabama","University of South Alabama","http://www.usajaguars.com/"
"Troy University","Troy University Athletics","http://www.troytrojans.com/"
"University of Alabama at Birmingham","UAB Official Athletic Site","http://www.uabsports.com/"
"University of Arizona","University of Arizona Wildcats Official Athletic Site","http://www.arizonawildcats.com/"
"Arizona State University","Arizona State University Official Athletic Site","http://www.thesundevils.com/"
"Northern Arizona University","Northern Arizona University Athletics","http://www.nauathletics.com/"
"University of Arkansas","University of Arkansas Athletics","http://www.arkansasrazorbacks.com/"
"University of Arkansas at Little Rock","UALRTrojans.com—Official Web Site of Arkansas Little Rock Athlet","http://ualrtrojans.com/"
"University of Arkansas Pine Bluff","University of Arkansas Pine Bluff Athletics","http://www.google.com/url?sa=t&rct=j&q=university%20of%20arkansas%20pine%20bluff%20athletics&source=web&cd=1&sqi=2&ved=0CB0QFjAA&url=http%3A%2F%2Fwww.uapblionsroar.com%2F&ei=spifTrXUF8jjiALh7_VO&usg=AFQjCNE5o6vVi8U6YI64xUqFOeveAxerPg"
"Arkansas State University","Arkansas State Athletics Official Web Site - astateredwolves.com","http://www.astateredwolves.com/"
"University of Central Arkansas","Central Arkansas Athletics","http://www.ucasports.com/"
"California Polytechnic State University","Cal Poly Athletics","http://www.gopoly.com/"
"California State University, Bakersfield","GoRunners.com—Official Web Site of the CSU Bakersfield","http://www.gorunners.com/"
"California State University, Fullerton","Cal State Fullerton Athletics","http://www.fullertontitans.com/"
